Algorithm,Number of Cores,Pooling,Number of classifiers,Accuracy,BI,AUC
ROCKET,2500,ppv,90,0.5589999999999999,0.46799999999999997,0.867
ROCKET,2500,max,100,0.555,0.462,0.872
ROCKET,2500,max + ppv,100,0.555,0.462,0.87
ROCKET,2500,ppv,100,0.564,0.474,0.871
ROCKET,5000,max,80,0.557,0.46399999999999997,0.8690000000000001
ROCKET,5000,max + ppv,80,0.5589999999999999,0.467,0.87
ROCKET,5000,ppv,80,0.562,0.47100000000000003,0.8690000000000001
ROCKET,5000,max,90,0.561,0.469,0.8740000000000001
ROCKET,5000,max + ppv,90,0.5579999999999999,0.466,0.873
ROCKET,5000,ppv,90,0.5660000000000001,0.475,0.873
ROCKET,5000,max,100,0.56,0.467,0.873
ROCKET,5000,max + ppv,100,0.5589999999999999,0.466,0.872
ROCKET,5000,ppv,100,0.569,0.479,0.873
ROCKET,10000,max,80,0.5670000000000001,0.475,0.8759999999999999
ROCKET,10000,max + ppv,80,0.562,0.47,0.875
ROCKET,10000,ppv,80,0.569,0.48,0.8740000000000001
ROCKET,10000,max,90,0.5670000000000001,0.475,0.878
ROCKET,10000,max + ppv,90,0.5660000000000001,0.474,0.878
ROCKET,10000,ppv,90,0.573,0.484,0.8759999999999999
ROCKET,10000,max,100,0.569,0.478,0.879
ROCKET,10000,max + ppv,100,0.565,0.473,0.878
ROCKET,10000,ppv,100,0.57,0.48,0.875
