Algorithm,Number of Cores,Pooling,Parametr Wygładzania,Accuracy,BI,AUC
ROCKET,1000,max,1e-08,0.456,0.348,0.7609999999999999
ROCKET,1000,max + ppv,1e-08,0.456,0.348,0.7609999999999999
ROCKET,1000,ppv,1e-08,0.467,0.36,0.784
ROCKET,2500,max,1e-10,0.431,0.32,0.72
ROCKET,2500,max + ppv,1e-10,0.431,0.32,0.72
ROCKET,2500,ppv,1e-10,0.442,0.332,0.747
ROCKET,2500,max,1e-09,0.431,0.321,0.72
ROCKET,2500,max + ppv,1e-09,0.431,0.321,0.72
ROCKET,2500,ppv,1e-09,0.441,0.331,0.747
ROCKET,2500,max,1e-08,0.441,0.332,0.727
ROCKET,2500,max + ppv,1e-08,0.441,0.332,0.727
ROCKET,2500,ppv,1e-08,0.44,0.33,0.747
ROCKET,5000,max,1e-10,0.405,0.292,0.675
ROCKET,5000,max + ppv,1e-10,0.405,0.292,0.675
ROCKET,5000,ppv,1e-10,0.41600000000000004,0.303,0.6990000000000001
ROCKET,5000,max,1e-09,0.406,0.293,0.6759999999999999
ROCKET,5000,max + ppv,1e-09,0.406,0.293,0.6759999999999999
ROCKET,5000,ppv,1e-09,0.415,0.302,0.6990000000000001
ROCKET,5000,max,1e-08,0.42100000000000004,0.31,0.6859999999999999
ROCKET,5000,max + ppv,1e-08,0.42100000000000004,0.31,0.6859999999999999
ROCKET,5000,ppv,1e-08,0.414,0.301,0.698
ROCKET,10000,max,1e-10,0.401,0.28800000000000003,0.654
ROCKET,10000,max + ppv,1e-10,0.401,0.28800000000000003,0.654
ROCKET,10000,ppv,1e-10,0.40700000000000003,0.294,0.67
ROCKET,10000,max,1e-09,0.40299999999999997,0.29,0.655
ROCKET,10000,max + ppv,1e-09,0.40299999999999997,0.29,0.655
ROCKET,10000,ppv,1e-09,0.40700000000000003,0.293,0.67
ROCKET,10000,max,1e-08,0.41700000000000004,0.306,0.665
ROCKET,10000,max + ppv,1e-08,0.41700000000000004,0.306,0.665
ROCKET,10000,ppv,1e-08,0.406,0.293,0.67
