Algorithm,Number of Cores,Pooling,Number of classifiers,Accuracy,BI,AUC
ROCKET,2500,ppv,90,0.439,0.335,0.6679999999999999
ROCKET,2500,max,100,0.43200000000000005,0.327,0.664
ROCKET,2500,max + ppv,100,0.429,0.324,0.662
ROCKET,2500,ppv,100,0.442,0.33899999999999997,0.67
ROCKET,5000,max,80,0.43799999999999994,0.33399999999999996,0.667
ROCKET,5000,max + ppv,80,0.435,0.331,0.665
ROCKET,5000,ppv,80,0.45299999999999996,0.35100000000000003,0.6759999999999999
ROCKET,5000,max,90,0.44299999999999995,0.34,0.67
ROCKET,5000,max + ppv,90,0.44299999999999995,0.34,0.67
ROCKET,5000,ppv,90,0.45399999999999996,0.353,0.677
ROCKET,5000,max,100,0.433,0.32799999999999996,0.664
ROCKET,5000,max + ppv,100,0.44,0.336,0.6679999999999999
ROCKET,5000,ppv,100,0.45399999999999996,0.353,0.677
ROCKET,10000,max,80,0.45299999999999996,0.35100000000000003,0.6759999999999999
ROCKET,10000,max + ppv,80,0.45899999999999996,0.35700000000000004,0.679
ROCKET,10000,ppv,80,0.45799999999999996,0.35700000000000004,0.6779999999999999
ROCKET,10000,max,90,0.445,0.342,0.6709999999999999
ROCKET,10000,max + ppv,90,0.45,0.34700000000000003,0.674
ROCKET,10000,ppv,90,0.46,0.36,0.68
ROCKET,10000,max,100,0.45399999999999996,0.35200000000000004,0.6759999999999999
ROCKET,10000,max + ppv,100,0.455,0.354,0.677
ROCKET,10000,ppv,100,0.46299999999999997,0.363,0.6809999999999999
