Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Accuracy,BI,AUC
ROCKET,5000,max,rbf,1000,0.511,0.41600000000000004,0.8690000000000001
ROCKET,5000,max + ppv,rbf,1000,0.511,0.41600000000000004,0.8690000000000001
ROCKET,5000,ppv,rbf,1000,0.6890000000000001,0.626,0.9109999999999999
ROCKET,5000,max,rbf,10000,0.511,0.41600000000000004,0.8690000000000001
ROCKET,5000,max + ppv,rbf,10000,0.511,0.41600000000000004,0.868
ROCKET,5000,ppv,rbf,10000,0.6890000000000001,0.626,0.91
ROCKET,5000,max,sigmoid,100,0.18899999999999997,0.051,0.536
ROCKET,5000,max + ppv,sigmoid,100,0.18899999999999997,0.051,0.5379999999999999
ROCKET,5000,ppv,sigmoid,100,0.154,0.0,0.374
ROCKET,5000,max,sigmoid,1000,0.158,0.022000000000000002,0.563
ROCKET,5000,max + ppv,sigmoid,1000,0.158,0.022000000000000002,0.562
ROCKET,5000,ppv,sigmoid,1000,0.154,0.0,0.37
ROCKET,5000,max,sigmoid,10000,0.157,0.02,0.5579999999999999
ROCKET,5000,max + ppv,sigmoid,10000,0.157,0.02,0.5579999999999999
ROCKET,5000,ppv,sigmoid,10000,0.154,0.0,0.292
ROCKET,10000,max,linear,100,0.495,0.39799999999999996,0.867
ROCKET,10000,max + ppv,linear,100,0.495,0.397,0.868
ROCKET,10000,ppv,linear,100,0.6940000000000001,0.632,0.914
ROCKET,10000,max,linear,1000,0.495,0.39799999999999996,0.867
ROCKET,10000,max + ppv,linear,1000,0.495,0.39799999999999996,0.868
ROCKET,10000,ppv,linear,1000,0.6940000000000001,0.632,0.914
ROCKET,10000,max,linear,10000,0.495,0.39799999999999996,0.867
ROCKET,10000,max + ppv,linear,10000,0.495,0.39799999999999996,0.868
ROCKET,10000,ppv,linear,10000,0.6940000000000001,0.632,0.914
ROCKET,10000,max,poly,100,0.439,0.335,0.8370000000000001
ROCKET,10000,max + ppv,poly,100,0.439,0.335,0.8390000000000001
ROCKET,10000,ppv,poly,100,0.6920000000000001,0.629,0.9129999999999999
ROCKET,10000,max,poly,1000,0.439,0.335,0.8390000000000001
ROCKET,10000,max + ppv,poly,1000,0.439,0.335,0.838
ROCKET,10000,ppv,poly,1000,0.6920000000000001,0.629,0.9129999999999999
ROCKET,10000,max,poly,10000,0.439,0.335,0.84
ROCKET,10000,max + ppv,poly,10000,0.439,0.335,0.8390000000000001
ROCKET,10000,ppv,poly,10000,0.6920000000000001,0.629,0.914
ROCKET,10000,max,rbf,100,0.508,0.41100000000000003,0.87
ROCKET,10000,max + ppv,rbf,100,0.508,0.41100000000000003,0.8690000000000001
ROCKET,10000,ppv,rbf,100,0.6970000000000001,0.635,0.912
ROCKET,10000,max,rbf,1000,0.508,0.41100000000000003,0.8690000000000001
ROCKET,10000,max + ppv,rbf,1000,0.508,0.41100000000000003,0.868
ROCKET,10000,ppv,rbf,1000,0.6970000000000001,0.634,0.9129999999999999
ROCKET,10000,max,rbf,10000,0.508,0.41100000000000003,0.87
ROCKET,10000,max + ppv,rbf,10000,0.508,0.41100000000000003,0.8690000000000001
ROCKET,10000,ppv,rbf,10000,0.6970000000000001,0.634,0.912
ROCKET,10000,max,sigmoid,100,0.188,0.049,0.541
ROCKET,10000,max + ppv,sigmoid,100,0.188,0.049,0.539
ROCKET,10000,ppv,sigmoid,100,0.154,0.0,0.348
ROCKET,10000,max,sigmoid,1000,0.157,0.021,0.56
ROCKET,10000,max + ppv,sigmoid,1000,0.157,0.021,0.563
ROCKET,10000,ppv,sigmoid,1000,0.154,0.0,0.33399999999999996
ROCKET,10000,max,sigmoid,10000,0.156,0.019,0.56
ROCKET,10000,max + ppv,sigmoid,10000,0.156,0.019,0.556
ROCKET,10000,ppv,sigmoid,10000,0.154,0.0,0.27
