Algorithm,Number of Cores,Pooling,Number of classifiers,Accuracy,BI,AUC
ROCKET,2500,max,100,0.8440000000000001,0.8270000000000001,0.988
ROCKET,2500,max + ppv,100,0.841,0.823,0.988
ROCKET,2500,ppv,100,0.875,0.861,0.991
ROCKET,5000,max,80,0.848,0.831,0.988
ROCKET,5000,max + ppv,80,0.846,0.8290000000000001,0.987
ROCKET,5000,ppv,80,0.878,0.865,0.991
ROCKET,5000,max,90,0.846,0.8290000000000001,0.988
ROCKET,5000,max + ppv,90,0.845,0.828,0.988
ROCKET,5000,ppv,90,0.878,0.8640000000000001,0.991
ROCKET,5000,max,100,0.845,0.828,0.988
ROCKET,5000,max + ppv,100,0.8440000000000001,0.826,0.988
ROCKET,5000,ppv,100,0.882,0.868,0.991
ROCKET,10000,max,80,0.847,0.83,0.988
ROCKET,10000,max + ppv,80,0.8490000000000001,0.8320000000000001,0.988
ROCKET,10000,ppv,80,0.88,0.866,0.991
ROCKET,10000,max,90,0.848,0.831,0.988
ROCKET,10000,max + ppv,90,0.847,0.83,0.988
ROCKET,10000,ppv,90,0.883,0.87,0.991
ROCKET,10000,max,100,0.85,0.833,0.988
ROCKET,10000,max + ppv,100,0.85,0.833,0.988
ROCKET,10000,ppv,100,0.883,0.87,0.991
