Algorithm,Number of Cores,Pooling,Kernel,Smoothing Parameter,Skuteczność,BI,AUC
ROCKET,10000,max + ppv,linear,100,0.8240000000000001,0.805,0.9570000000000001
ROCKET,10000,max,linear,100,0.8240000000000001,0.805,0.958
ROCKET,10000,ppv,linear,100,0.895,0.884,0.99
ROCKET,10000,max + ppv,linear,1000,0.8240000000000001,0.805,0.9570000000000001
ROCKET,10000,max,linear,1000,0.8240000000000001,0.805,0.9570000000000001
ROCKET,10000,ppv,linear,1000,0.895,0.884,0.99
ROCKET,10000,max + ppv,linear,10000,0.8240000000000001,0.805,0.9570000000000001
ROCKET,10000,max,linear,10000,0.8240000000000001,0.805,0.9570000000000001
ROCKET,10000,ppv,linear,10000,0.895,0.884,0.99
ROCKET,10000,max + ppv,poly,100,0.536,0.485,0.8759999999999999
ROCKET,10000,max,poly,100,0.536,0.485,0.878
ROCKET,10000,ppv,poly,100,0.898,0.887,0.991
ROCKET,10000,max + ppv,poly,1000,0.642,0.603,0.8959999999999999
ROCKET,10000,max,poly,1000,0.642,0.603,0.8959999999999999
ROCKET,10000,ppv,poly,1000,0.898,0.887,0.99
ROCKET,10000,max + ppv,poly,10000,0.725,0.6940000000000001,0.917
ROCKET,10000,max,poly,10000,0.725,0.6940000000000001,0.9159999999999999
ROCKET,10000,ppv,poly,10000,0.898,0.887,0.991
ROCKET,10000,max + ppv,rbf,100,0.625,0.583,0.935
ROCKET,10000,max,rbf,100,0.625,0.583,0.935
ROCKET,10000,ppv,rbf,100,0.873,0.8590000000000001,0.9890000000000001
ROCKET,10000,max + ppv,rbf,1000,0.7340000000000001,0.7040000000000001,0.9670000000000001
ROCKET,10000,max,rbf,1000,0.7340000000000001,0.7040000000000001,0.9670000000000001
ROCKET,10000,ppv,rbf,1000,0.9009999999999999,0.89,0.991
ROCKET,10000,max + ppv,rbf,10000,0.82,0.8,0.971
ROCKET,10000,max,rbf,10000,0.82,0.8,0.971
ROCKET,10000,ppv,rbf,10000,0.9009999999999999,0.89,0.991
ROCKET,10000,max + ppv,sigmoid,100,0.0,-0.111,0.863
ROCKET,10000,max,sigmoid,100,0.0,-0.111,0.862
ROCKET,10000,ppv,sigmoid,100,0.496,0.44,0.113
ROCKET,10000,max + ppv,sigmoid,1000,0.0,-0.111,0.892
ROCKET,10000,max,sigmoid,1000,0.0,-0.111,0.892
ROCKET,10000,ppv,sigmoid,1000,0.496,0.44,0.213
ROCKET,10000,max + ppv,sigmoid,10000,0.0,-0.111,0.877
ROCKET,10000,max,sigmoid,10000,0.0,-0.111,0.878
ROCKET,10000,ppv,sigmoid,10000,0.536,0.484,0.8540000000000001
