Algorithm,Number of Cores,Pooling,Number of classifiers,Skuteczność,BI,AUC
ROCKET,2500,max + ppv,80,0.9129999999999999,0.7979999999999999,0.899
ROCKET,2500,max,80,0.915,0.8009999999999999,0.9009999999999999
ROCKET,2500,ppv,80,0.9109999999999999,0.7809999999999999,0.89
ROCKET,2500,max + ppv,90,0.917,0.807,0.903
ROCKET,2500,max,90,0.9159999999999999,0.804,0.902
ROCKET,2500,ppv,90,0.9109999999999999,0.782,0.8909999999999999
ROCKET,5000,max + ppv,100,0.9179999999999999,0.807,0.903
ROCKET,5000,max,100,0.92,0.8109999999999999,0.905
ROCKET,5000,ppv,100,0.914,0.7859999999999999,0.893
ROCKET,5000,max + ppv,80,0.9159999999999999,0.804,0.902
ROCKET,5000,max,80,0.917,0.804,0.902
ROCKET,5000,ppv,80,0.914,0.787,0.894
ROCKET,5000,max + ppv,90,0.917,0.805,0.902
ROCKET,5000,max,90,0.919,0.8079999999999999,0.904
ROCKET,5000,ppv,90,0.915,0.789,0.894
ROCKET,10000,max + ppv,100,0.922,0.813,0.907
ROCKET,10000,max,100,0.922,0.815,0.907
ROCKET,10000,ppv,100,0.9159999999999999,0.795,0.898
ROCKET,10000,max + ppv,80,0.92,0.8140000000000001,0.907
ROCKET,10000,max,80,0.922,0.815,0.907
ROCKET,10000,ppv,80,0.917,0.8,0.9
ROCKET,10000,max + ppv,90,0.922,0.818,0.909
ROCKET,10000,max,90,0.92,0.81,0.905
ROCKET,10000,ppv,90,0.9129999999999999,0.785,0.892
